W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
4.0,0.0,4.0,12.0,0.5,2.0,,,1 (L),RATABE,5,8,14,,,,,,,,
4.0,0.0,4.0,12.0,0.5,6.0,,,1 (L),Magpies United,6,8,14,,,,,,,,
4.0,0.0,4.0,12.0,0.5,5.0,955.5,,1 (W),Benford FC,7,8,14,,,,,,,,
3.0,0.0,5.0,9.0,0.375,3.0,,,1 (W),Thottenham Hotsluts,8,8,14,,,,,,,,
2.0,0.0,6.0,6.0,0.25,7.0,,,1 (W),Concept of a FPLan,9,8,14,,,,,,,,
1.0,0.0,7.0,3.0,0.125,4.0,,,4 (L),Seanhampton,10,8,14,,,,,,,,
7.0,0.0,2.0,21.0,0.778,9.0,,,5 (W),Cheasle FC,1,9,14,,,,,,,,
7.0,0.0,2.0,21.0,0.778,8.0,,,1 (W),HappyHaalandays,2,9,14,,,,,,,,
6.0,0.0,3.0,18.0,0.667,10.0,,,5 (W),TAAco Bell,3,9,14,,,,,,,,
5.0,0.0,4.0,15.0,0.556,2.0,,,1 (W),RATABE,4,9,14,,,,,,,,
5.0,0.0,4.0,15.0,0.556,1.0,,,3 (L),New Zac on the Block,5,9,14,,,,,,,,
4.0,0.0,5.0,12.0,0.444,6.0,,,2 (L),Magpies United,6,9,14,,,,,,,,
4.0,0.0,5.0,12.0,0.444,5.0,,,1 (L),Benford FC,7,9,14,,,,,,,,
3.0,0.0,6.0,9.0,0.333,3.0,,,1 (L),Thottenham Hotsluts,8,9,14,,,,,,,,
2.0,0.0,7.0,6.0,0.222,7.0,,,1 (L),Concept of a FPLan,9,9,14,,,,,,,,
2.0,0.0,7.0,6.0,0.222,4.0,,,1 (W),Seanhampton,10,9,14,,,,,,,,
7.0,0.0,3.0,21.0,0.7,9.0,,,1 (L),Cheasle FC,1,10,14,,,,,,,,
7.0,0.0,3.0,21.0,0.7,10.0,,,6 (W),TAAco Bell,2,10,14,,,,,,,,
7.0,0.0,3.0,21.0,0.7,8.0,,,1 (L),HappyHaalandays,3,10,14,,,,,,,,
6.0,0.0,4.0,18.0,0.6,1.0,,,1 (W),New Zac on the Block,4,10,14,,,,,,,,
5.0,0.0,5.0,15.0,0.5,2.0,,,1 (L),RATABE,5,10,14,,,,,,,,
4.0,0.0,6.0,12.0,0.4,6.0,,,3 (L),Magpies United,6,10,14,,,,,,,,
4.0,0.0,6.0,12.0,0.4,3.0,,,1 (W),Thottenham Hotsluts,7,10,14,,,,,,,,
4.0,0.0,6.0,12.0,0.4,5.0,,,2 (L),Benford FC,8,10,14,,,,,,,,
3.0,0.0,7.0,9.0,0.3,7.0,,,1 (W),Concept of a FPLan,9,10,14,,,,,,,,
3.0,0.0,7.0,9.0,0.3,4.0,,,2 (W),Seanhampton,10,10,14,,,,,,,,
8.0,0.0,3.0,24.0,0.727,8.0,,,1 (W),HappyHaalandays,1,11,14,,,,,,,,
7.0,0.0,4.0,21.0,0.636,9.0,,,2 (L),Cheasle FC,2,11,14,,,,,,,,
7.0,0.0,4.0,21.0,0.636,10.0,,,1 (L),TAAco Bell,3,11,14,,,,,,,,
7.0,0.0,4.0,21.0,0.636,1.0,,,2 (W),New Zac on the Block,4,11,14,,,,,,,,
5.0,0.0,6.0,15.0,0.455,2.0,,,2 (L),RATABE,5,11,14,,,,,,,,
5.0,0.0,6.0,15.0,0.455,3.0,,,2 (W),Thottenham Hotsluts,6,11,14,,,,,,,,
5.0,0.0,6.0,15.0,0.455,5.0,,,1 (W),Benford FC,7,11,14,,,,,,,,
4.0,0.0,7.0,12.0,0.364,7.0,,,2 (W),Concept of a FPLan,8,11,14,,,,,,,,
4.0,0.0,7.0,12.0,0.364,6.0,,,4 (L),Magpies United,9,11,14,,,,,,,,
3.0,0.0,8.0,9.0,0.273,4.0,,,1 (L),Seanhampton,10,11,14,,,,,,,,
9.0,0.0,3.0,27.0,0.75,8.0,,,2 (W),HappyHaalandays,1,12,14,,,,,,,,
8.0,0.0,4.0,24.0,0.667,9.0,,,1 (W),Cheasle FC,2,12,14,,,,,,,,
8.0,0.0,4.0,24.0,0.667,10.0,,,1 (W),TAAco Bell,3,12,14,,,,,,,,
8.0,0.0,4.0,24.0,0.667,1.0,,,3 (W),New Zac on the Block,4,12,14,,,,,,,,
6.0,0.0,6.0,18.0,0.5,3.0,,,3 (W),Thottenham Hotsluts,5,12,14,,,,,,,,
5.0,0.0,7.0,15.0,0.417,2.0,,,3 (L),RATABE,6,12,14,,,,,,,,
5.0,0.0,7.0,15.0,0.417,5.0,,,1 (L),Benford FC,7,12,14,,,,,,,,
4.0,0.0,8.0,12.0,0.333,7.0,,,1 (L),Concept of a FPLan,8,12,14,,,,,,,,
4.0,0.0,8.0,12.0,0.333,6.0,,,5 (L),Magpies United,9,12,14,,,,,,,,
3.0,0.0,9.0,9.0,0.25,4.0,,,2 (L),Seanhampton,10,12,14,,,,,,,,
9.0,0.0,4.0,27.0,0.692,10.0,,,2 (W),TAAco Bell,1,13,14,,,,,,,,
9.0,0.0,4.0,27.0,0.692,8.0,,,1 (L),HappyHaalandays,2,13,14,,,,,,,,
8.0,0.0,5.0,24.0,0.615,9.0,,,1 (L),Cheasle FC,3,13,14,,,,,,,,
8.0,0.0,5.0,24.0,0.615,1.0,,,1 (L),New Zac on the Block,4,13,14,,,,,,,,
7.0,0.0,6.0,21.0,0.538,3.0,,,4 (W),Thottenham Hotsluts,5,13,14,,,,,,,,
6.0,0.0,7.0,18.0,0.462,2.0,,,1 (W),RATABE,6,13,14,,,,,,,,
