win,draw,loss,points,win_pct,for,against,streak,team,rank,gw,season
9,1,5,28,0.633,736.2,641.1,1 (W),I_De_Zerbit,2,15,12
8,1,6,25,0.567,788.3,681.9,1 (W),RATABE,3,15,12
8,1,6,25,0.567,701.1,656.2,2 (W),Bench Warmers FC,4,15,12
7,1,7,22,0.5,641.5,698.2,1 (L),HappyHaalandays,5,15,12
6,1,8,19,0.433,572.9,693.0,2 (L),Mo Mané Mo Problems,6,15,12
4,1,10,13,0.3,684.1,758.9,1 (L),Benford F.C.,7,15,12
2,1,12,7,0.167,583.2,758.4,4 (L),Seanhampton FC,8,15,12
13,1,2,40,0.844,903.6,703.8,3 (W),Sa Lah Land,1,16,12
10,1,5,31,0.656,775.2,671.5,2 (W),I_De_Zerbit,2,16,12
9,1,6,28,0.594,846.1,731.4,2 (W),RATABE,3,16,12
8,1,7,25,0.531,745.5,720.0,1 (L),Bench Warmers FC,4,16,12
7,1,8,22,0.469,671.9,737.2,2 (L),HappyHaalandays,5,16,12
6,1,9,19,0.406,626.7,754.6,3 (L),Mo Mané Mo Problems,6,16,12
4,1,11,13,0.281,733.6,816.7,2 (L),Benford F.C.,7,16,12
3,1,12,10,0.219,644.8,812.2,1 (W),Seanhampton FC,8,16,12
14,1,2,43,0.853,974.6,737.1,4 (W),Sa Lah Land,1,17,12
10,1,6,31,0.618,825.7,735.5,1 (L),I_De_Zerbit,2,17,12
9,1,7,28,0.559,881.8,790.6,1 (L),RATABE,3,17,12
9,1,7,28,0.559,804.7,755.7,1 (W),Bench Warmers FC,4,17,12
7,1,9,22,0.441,692.9,811.1,3 (L),HappyHaalandays,5,17,12
6,1,10,19,0.382,660.0,825.6,4 (L),Mo Mané Mo Problems,6,17,12
5,1,11,16,0.324,807.5,837.7,1 (W),Benford F.C.,7,17,12
4,1,12,13,0.265,708.8,862.7,2 (W),Seanhampton FC,8,17,12
15,1,2,46,0.861,1039.9,788.1,5 (W),Sa Lah Land,1,18,12
10,1,7,31,0.583,928.5,818.5,1 (W),RATABE,2,18,12
10,1,7,31,0.583,876.7,800.8,2 (L),I_De_Zerbit,3,18,12
9,1,8,28,0.528,849.4,805.2,1 (L),Bench Warmers FC,4,18,12
7,1,10,22,0.417,710.9,854.2,4 (L),HappyHaalandays,5,18,12
6,1,11,19,0.361,857.0,882.4,2 (W),Benford F.C.,6,18,12
6,1,11,19,0.361,687.9,872.3,5 (L),Mo Mané Mo Problems,7,18,12
5,1,12,16,0.306,751.9,880.7,3 (W),Seanhampton FC,8,18,12
16,1,2,49,0.868,1115.5,847.8,6 (W),Sa Lah Land,1,19,12
11,1,7,34,0.605,943.0,844.7,1 (W),I_De_Zerbit,2,19,12
10,1,8,31,0.553,972.4,884.8,1 (L),RATABE,3,19,12
10,1,8,31,0.553,914.9,846.5,1 (W),Bench Warmers FC,4,19,12
7,1,11,22,0.395,896.1,919.5,3 (W),Benford F.C.,5,19,12
7,1,11,22,0.395,752.2,919.7,5 (L),HappyHaalandays,6,19,12
6,1,12,19,0.342,725.0,911.4,6 (L),Mo Mané Mo Problems,7,19,12
5,1,13,16,0.289,811.6,956.3,1 (L),Seanhampton FC,8,19,12
17,1,2,52,0.875,1166.4,883.6,7 (W),Sa Lah Land,1,20,12
11,1,8,34,0.575,1026.2,929.3,1 (W),RATABE,2,20,12
11,1,8,34,0.575,1013.3,923.0,1 (L),I_De_Zerbit,3,20,12
11,1,8,34,0.575,983.0,888.5,2 (W),Bench Warmers FC,4,20,12
8,1,11,25,0.425,974.4,989.8,4 (W),Benford F.C.,5,20,12
7,1,12,22,0.375,788.0,970.6,6 (L),HappyHaalandays,6,20,12
6,1,13,19,0.325,767.0,979.5,7 (L),Mo Mané Mo Problems,7,20,12
5,1,14,16,0.275,856.1,1010.1,2 (L),Seanhampton FC,8,20,12
18,1,2,55,0.881,1234.4,917.4,8 (W),Sa Lah Land,1,21,12
12,1,8,37,0.595,1037.8,929.9,3 (W),Bench Warmers FC,2,21,12
11,1,9,34,0.548,1060.0,997.3,1 (L),RATABE,3,21,12
