W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw
16,0,6,48,0.727,4,3504.0,2963.0,3 (W),Cheasle FC,1,22
16,0,6,48,0.727,7,3370.5,2878.5,6 (W),TAAco Bell,2,22
13,0,9,39,0.591,6,3103.0,3084.5,3 (L),HappyHaalandays,3,22
13,0,9,39,0.591,5,2911.5,3102.5,2 (W),Thottenham Hotsluts,4,22
11,0,11,33,0.5,2,3142.5,3053.0,2 (L),New Zac on the Block,5,22
11,0,11,33,0.5,3,3101.5,3134.5,1 (W),RATABE,6,22
11,0,11,33,0.5,8,3080.0,3078.0,1 (L),Benford FC,7,22
8,0,14,24,0.364,9,3164.0,3344.0,2 (W),Concept of a FPLan,8,22
7,0,15,21,0.318,10,3021.0,3189.5,3 (L),Seanhampton,9,22
4,0,18,12,0.182,1,2764.5,3335.0,15 (L),Magpies United,10,22
17,0,6,51,0.739,4,3678.5,3089.5,4 (W),Cheasle FC,1,23
17,0,6,51,0.739,7,3529.0,3014.5,7 (W),TAAco Bell,2,23
13,0,10,39,0.565,6,3248.0,3244.0,4 (L),HappyHaalandays,3,23
13,0,10,39,0.565,5,3038.0,3277.0,1 (L),Thottenham Hotsluts,4,23
12,0,11,36,0.522,2,3306.0,3176.5,1 (W),New Zac on the Block,5,23
12,0,11,36,0.522,3,3261.0,3279.5,2 (W),RATABE,6,23
11,0,12,33,0.478,8,3235.0,3239.0,2 (L),Benford FC,7,23
9,0,14,27,0.391,9,3325.0,3499.0,3 (W),Concept of a FPLan,8,23
7,0,16,21,0.304,10,3157.0,3348.0,4 (L),Seanhampton,9,23
4,0,19,12,0.174,1,2888.0,3498.5,16 (L),Magpies United,10,23
18,0,6,54,0.75,7,3777.5,3143.0,8 (W),TAAco Bell,1,24
17,0,7,51,0.708,4,3865.5,3296.0,1 (L),Cheasle FC,2,24
13,0,11,39,0.542,2,3480.5,3311.5,2 (W),New Zac on the Block,3,24
13,0,11,39,0.542,6,3342.5,3462.5,5 (L),HappyHaalandays,4,24
13,0,11,39,0.542,5,3176.0,3440.5,2 (L),Thottenham Hotsluts,5,24
12,0,12,36,0.5,3,3396.0,3454.0,1 (L),RATABE,6,24
11,0,13,33,0.458,8,3363.5,3487.5,3 (L),Benford FC,7,24
10,0,14,30,0.417,9,3488.5,3637.0,4 (W),Concept of a FPLan,8,24
8,0,16,24,0.333,10,3375.5,3442.5,1 (W),Seanhampton,9,24
5,0,19,15,0.208,1,3094.5,3685.5,1 (W),Magpies United,10,24
19,0,6,57,0.76,7,3988.5,3284.0,9 (W),TAAco Bell,1,25
17,0,8,51,0.68,4,3991.0,3482.0,2 (L),Cheasle FC,2,25
14,0,11,42,0.56,2,3666.5,3437.0,3 (W),New Zac on the Block,3,25
14,0,11,42,0.56,6,3496.5,3573.5,1 (W),HappyHaalandays,4,25
13,0,12,39,0.52,5,3317.0,3651.5,3 (L),Thottenham Hotsluts,5,25
12,0,13,36,0.48,3,3546.0,3619.0,2 (L),RATABE,6,25
11,0,14,33,0.44,8,3474.5,3641.5,4 (L),Benford FC,7,25
10,0,15,30,0.4,9,3617.0,3773.0,1 (L),Concept of a FPLan,8,25
9,0,16,27,0.36,10,3540.5,3592.5,2 (W),Seanhampton,9,25
6,0,19,18,0.24,1,3230.5,3814.0,2 (W),Magpies United,10,25
20,0,6,60,0.769,7,4131.0,3399.5,10 (W),TAAco Bell,1,26
18,0,8,54,0.692,4,4175.0,3591.5,1 (W),Cheasle FC,2,26
15,0,11,45,0.577,2,3826.5,3525.0,4 (W),New Zac on the Block,3,26
14,0,12,42,0.538,6,3618.0,3743.0,1 (L),HappyHaalandays,4,26
14,0,12,42,0.538,5,3486.5,3773.0,1 (W),Thottenham Hotsluts,5,26
12,0,14,36,0.462,3,3655.5,3803.0,3 (L),RATABE,6,26
11,0,15,33,0.423,8,3625.5,3824.0,5 (L),Benford FC,7,26
10,0,16,30,0.385,10,3723.0,3743.5,3 (W),Seanhampton,8,26
10,0,16,30,0.385,9,3705.0,3933.0,2 (L),Concept of a FPLan,9,26
6,0,20,18,0.231,1,3346.0,3956.5,1 (L),Magpies United,10,26
20,0,7,60,0.741,7,4288.5,3564.5,1 (L),TAAco Bell,1,27
18,0,9,54,0.667,4,4314.0,3748.0,1 (L),Cheasle FC,2,27
16,0,11,48,0.593,2,3991.5,3682.5,5 (W),New Zac on the Block,3,27
15,0,12,45,0.556,6,3741.0,3859.0,1 (W),HappyHaalandays,4,27
14,0,13,42,0.519,5,3588.0,3913.5,1 (L),Thottenham Hotsluts,5,27
13,0,14,39,0.481,3,3861.5,3931.0,1 (W),RATABE,6,27
11,0,16,33,0.407,10,3863.5,3845.0,4 (W),Seanhampton,7,27
11,0,16,33,0.407,9,3861.5,4072.0,1 (W),Concept of a FPLan,8,27
11,0,16,33,0.407,8,3753.5,4030.0,6 (L),Benford FC,9,27
6,0,21,18,0.222,1,3462.0,4079.5,2 (L),Magpies United,10,27
20,0,7,60,0.741,7,4420.0,3713.5,1 (L),TAAco Bell,1,28
18,0,9,54,0.667,4,4463.0,3879.5,1 (L),Cheasle FC,2,28
16,0,11,48,0.593,2,4101.0,3779.0,5 (W),New Zac on the Block,3,28
15,0,12,45,0.556,6,3837.5,3968.5,1 (W),HappyHaalandays,4,28
14,0,13,42,0.519,5,3720.5,4030.0,1 (L),Thottenham Hotsluts,5,28
13,0,14,39,0.481,3,4014.5,3997.5,1 (W),RATABE,6,28
11,0,16,33,0.407,10,4045.0,3954.5,4 (W),Seanhampton,7,28
11,0,16,33,0.407,9,3928.0,4225.0,1 (W),Concept of a FPLan,8,28
11,0,16,33,0.407,8,3870.0,4162.5,6 (L),Benford FC,9,28
6,0,21,18,0.222,1,3571.5,4261.0,2 (L),Magpies United,10,28
