gw,rank,team,win,draw,loss,points,win_pct,for,against,streak
13,8,Cheasle FC,6,0,7,18,0.462,1573.25,1611.25,2 (L)
13,9,RATABE,4,0,9,12,0.308,1640.25,1728.75,3 (W)
13,10,Benford FC,3,0,10,9,0.231,1450.25,1709.0,3 (L)
14,1,Chicken ASzobo,10,0,4,30,0.714,2165.5,1882.5,2 (W)
14,2,Seanhampton FC,10,0,4,30,0.714,1981.75,1777.75,1 (W)
14,3,Cursed BrunOnana,8,0,6,24,0.571,2053.75,1903.0,1 (W)
14,4,Zenright,8,0,6,24,0.571,1886.25,1832.25,1 (L)
14,5,The ThiaGOAT,7,0,7,21,0.5,1837.0,1876.25,1 (L)
14,6,HappyHaalandays,7,0,7,21,0.5,1819.5,1985.25,1 (W)
14,7,Cheasle FC,7,0,7,21,0.5,1737.5,1725.0,1 (W)
14,8,Thottenham Hotsluts,6,0,8,18,0.429,1780.75,1866.75,1 (L)
14,9,RATABE,4,0,10,12,0.286,1754.0,1871.75,1 (L)
14,10,Benford FC,3,0,11,9,0.214,1548.75,1844.25,4 (L)
15,1,Chicken ASzobo,10,0,5,30,0.667,2306.5,2034.75,1 (L)
15,2,Seanhampton FC,10,0,5,30,0.667,2091.0,1912.75,1 (L)
15,3,Cursed BrunOnana,9,0,6,27,0.6,2253.5,2052.25,2 (W)
15,4,The ThiaGOAT,8,0,7,24,0.533,1989.25,2017.25,1 (W)
15,5,Zenright,8,0,7,24,0.533,1966.5,1975.75,2 (L)
15,6,HappyHaalandays,7,0,8,21,0.467,1964.75,2131.0,1 (L)
15,7,Thottenham Hotsluts,7,0,8,21,0.467,1915.75,1976.0,1 (W)
15,8,Cheasle FC,7,0,8,21,0.467,1886.75,1924.75,1 (L)
15,9,RATABE,5,0,10,15,0.333,1897.5,1952.0,1 (W)
15,10,Benford FC,4,0,11,12,0.267,1694.5,1989.5,1 (W)
16,1,Chicken ASzobo,11,0,5,33,0.688,2444.0,2130.5,1 (W)
16,2,Cursed BrunOnana,10,0,6,30,0.625,2411.0,2179.5,3 (W)
16,3,Seanhampton FC,10,0,6,30,0.625,2218.25,2070.25,2 (L)
16,4,HappyHaalandays,8,0,8,24,0.5,2111.0,2263.25,1 (W)
16,5,Zenright,8,0,8,24,0.5,2087.75,2098.0,3 (L)
16,6,The ThiaGOAT,8,0,8,24,0.5,2077.5,2140.75,1 (L)
16,7,Thottenham Hotsluts,8,0,8,24,0.5,2038.0,2097.25,2 (W)
16,8,Cheasle FC,7,0,9,21,0.438,2019.0,2071.0,2 (L)
16,9,RATABE,5,0,11,15,0.312,1993.25,2089.5,1 (L)
16,10,Benford FC,5,0,11,15,0.312,1818.0,2077.75,2 (W)
17,1,Chicken ASzobo,12,0,5,36,0.706,2602.0,2273.5,2 (W)
17,2,Cursed BrunOnana,11,0,6,33,0.647,2573.0,2284.5,4 (W)
17,3,Seanhampton FC,10,0,7,30,0.588,2359.75,2287.75,3 (L)
17,4,HappyHaalandays,9,0,8,27,0.529,2328.5,2404.75,2 (W)
17,5,The ThiaGOAT,8,0,9,24,0.471,2206.75,2288.5,2 (L)
17,6,Zenright,8,0,9,24,0.471,2192.75,2260.0,4 (L)
17,7,Cheasle FC,8,0,9,24,0.471,2166.75,2200.25,1 (W)
17,8,Thottenham Hotsluts,8,0,9,24,0.471,2128.0,2203.75,1 (L)
17,9,RATABE,6,0,11,18,0.353,2099.75,2179.5,1 (W)
17,10,Benford FC,5,0,12,15,0.294,1961.0,2235.75,1 (L)
18,1,Chicken ASzobo,13,0,5,39,0.722,2789.25,2397.75,3 (W)
18,2,Cursed BrunOnana,12,0,6,36,0.667,2707.75,2377.75,5 (W)
18,3,Seanhampton FC,11,0,7,33,0.611,2481.75,2347.25,1 (W)
18,4,HappyHaalandays,10,0,8,30,0.556,2444.0,2484.0,3 (W)
18,5,Zenright,8,0,10,24,0.444,2272.0,2375.5,5 (L)
18,6,Cheasle FC,8,0,10,24,0.444,2268.25,2327.5,1 (L)
18,7,The ThiaGOAT,8,0,10,24,0.444,2266.25,2410.5,3 (L)
18,8,Thottenham Hotsluts,8,0,10,24,0.444,2252.25,2391.0,2 (L)
18,9,RATABE,6,0,12,18,0.333,2193.0,2314.25,1 (L)
18,10,Benford FC,6,0,12,18,0.333,2088.25,2337.25,1 (W)
19,1,Chicken ASzobo,13,0,6,39,0.684,2939.5,2550.75,1 (L)
19,2,Cursed BrunOnana,13,0,6,39,0.684,2866.0,2512.5,6 (W)
19,3,HappyHaalandays,11,0,8,33,0.579,2587.0,2556.0,4 (W)
19,4,Seanhampton FC,11,0,8,33,0.579,2586.5,2466.75,1 (L)
19,5,Cheasle FC,9,0,10,27,0.474,2421.25,2477.75,1 (W)
19,6,Zenright,9,0,10,27,0.474,2383.25,2457.25,1 (W)
19,7,Thottenham Hotsluts,8,0,11,24,0.421,2387.0,2549.25,3 (L)
19,8,The ThiaGOAT,8,0,11,24,0.421,2348.0,2521.75,4 (L)
19,9,Benford FC,7,0,12,21,0.368,2207.75,2442.0,2 (W)
19,10,RATABE,6,0,13,18,0.316,2265.0,2457.25,2 (L)
20,1,Chicken ASzobo,14,0,6,42,0.7,3089.25,2664.25,1 (W)
20,2,Cursed BrunOnana,13,0,7,39,0.65,2979.5,2662.25,1 (L)
20,3,Seanhampton FC,12,0,8,36,0.6,2736.25,2604.5,1 (W)
20,4,HappyHaalandays,11,0,9,33,0.55,2712.0,2737.75,1 (L)
20,5,Zenright,10,0,10,30,0.5,2506.75,2570.5,2 (W)
20,6,Thottenham Hotsluts,9,0,11,27,0.45,2568.75,2674.25,1 (W)
20,7,Cheasle FC,9,0,11,27,0.45,2559.0,2627.5,1 (L)
20,8,The ThiaGOAT,8,0,12,24,0.4,2474.25,2652.25,5 (L)
20,9,RATABE,7,0,13,21,0.35,2395.5,2583.5,1 (W)
20,10,Benford FC,7,0,13,21,0.35,2321.0,2565.5,1 (L)
21,1,Chicken ASzobo,14,0,7,42,0.667,3225.5,2832.5,1 (L)
21,2,Cursed BrunOnana,13,0,8,39,0.619,3119.25,2819.0,2 (L)
21,3,Seanhampton FC,13,0,8,39,0.619,2904.5,2740.75,2 (W)
21,4,HappyHaalandays,12,0,9,36,0.571,2868.75,2877.5,1 (W)
21,5,Thottenham Hotsluts,10,0,11,30,0.476,2741.5,2819.75,2 (W)
21,6,Cheasle FC,10,0,11,30,0.476,2737.75,2768.5,1 (W)
21,7,Zenright,10,0,11,30,0.476,2647.75,2749.25,1 (L)
21,8,The ThiaGOAT,8,0,13,24,0.381,2619.75,2825.0,6 (L)
21,9,RATABE,8,0,13,24,0.381,2525.75,2711.75,2 (W)
21,10,Benford FC,7,0,14,21,0.333,2449.25,2695.75,2 (L)
22,1,Chicken ASzobo,15,0,7,45,0.682,3403.5,2950.75,1 (W)
22,2,Seanhampton FC,14,0,8,42,0.636,3050.25,2853.0,3 (W)
22,3,Cursed BrunOnana,13,0,9,39,0.591,3271.5,2973.75,3 (L)
22,4,HappyHaalandays,12,0,10,36,0.545,2987.0,3055.5,1 (L)
22,5,Thottenham Hotsluts,11,0,11,33,0.5,2899.25,2976.0,3 (W)
22,6,Cheasle FC,11,0,11,33,0.5,2874.5,2868.5,2 (W)
22,7,Zenright,10,0,12,30,0.455,2760.0,2895.0,2 (L)
22,8,The ThiaGOAT,9,0,13,27,0.409,2774.5,2977.25,1 (W)
22,9,RATABE,8,0,14,24,0.364,2625.75,2848.5,1 (L)
22,10,Benford FC,7,0,15,21,0.318,2605.5,2853.5,3 (L)
23,1,Chicken ASzobo,15,0,8,45,0.652,3551.75,3111.5,1 (L)
23,2,Seanhampton FC,14,0,9,42,0.609,3162.75,2994.25,1 (L)
23,3,Cursed BrunOnana,13,0,10,39,0.565,3388.75,3095.25,4 (L)
23,4,HappyHaalandays,12,0,11,36,0.522,3096.0,3211.25,2 (L)
23,5,Thottenham Hotsluts,12,0,11,36,0.522,3061.25,3122.25,4 (W)
23,6,Cheasle FC,11,0,12,33,0.478,3020.75,3030.5,1 (L)
23,7,Zenright,11,0,12,33,0.478,2920.75,3043.25,1 (W)
23,8,The ThiaGOAT,10,0,13,30,0.435,2930.25,3086.25,2 (W)
23,9,RATABE,9,0,14,27,0.391,2767.0,2961.0,1 (W)
23,10,Benford FC,8,0,15,24,0.348,2727.0,2970.75,1 (W)
24,1,Chicken ASzobo,15,0,9,45,0.625,3699.5,3267.75,2 (L)
24,2,Cursed BrunOnana,14,0,10,42,0.583,3594.5,3261.25,1 (W)
24,3,Seanhampton FC,14,0,10,42,0.583,3281.5,3136.25,2 (L)
24,4,HappyHaalandays,13,0,11,39,0.542,3252.0,3349.25,1 (W)
24,5,Thottenham Hotsluts,13,0,11,39,0.542,3203.25,3241.0,5 (W)
24,6,Zenright,12,0,12,36,0.5,3044.5,3149.0,2 (W)
24,7,Cheasle FC,11,0,13,33,0.458,3186.75,3236.25,2 (L)
24,8,The ThiaGOAT,11,0,13,33,0.458,3086.5,3234.0,3 (W)
24,9,RATABE,9,0,15,27,0.375,2872.75,3084.75,1 (L)
24,10,Benford FC,8,0,16,24,0.333,2865.0,3126.75,1 (L)
25,1,Chicken ASzobo,15,0,10,45,0.6,3822.0,3425.5,3 (L)
25,2,Seanhampton FC,15,0,10,45,0.6,3520.0,3351.25,1 (W)
25,3,Cursed BrunOnana,14,0,11,42,0.56,3809.5,3499.75,1 (L)
25,4,HappyHaalandays,13,0,12,39,0.52,3439.75,3543.5,1 (L)
25,5,Thottenham Hotsluts,13,0,12,39,0.52,3386.5,3459.75,1 (L)
25,6,Zenright,13,0,12,39,0.52,3263.25,3332.25,3 (W)
25,7,Cheasle FC,12,0,13,36,0.48,3381.0,3424.0,1 (W)
25,8,The ThiaGOAT,12,0,13,36,0.48,3256.5,3347.75,4 (W)
25,9,RATABE,10,0,15,30,0.4,3030.5,3207.25,1 (W)
25,10,Benford FC,8,0,17,24,0.32,2978.75,3296.75,2 (L)
26,1,Chicken ASzobo,16,0,10,48,0.615,3949.5,3500.25,1 (W)
26,2,Cursed BrunOnana,15,0,11,45,0.577,3938.25,3610.5,1 (W)
26,3,Seanhampton FC,15,0,11,45,0.577,3613.5,3561.5,1 (L)
26,4,HappyHaalandays,14,0,12,42,0.538,3650.0,3637.0,1 (W)
26,5,Thottenham Hotsluts,14,0,12,42,0.538,3538.75,3607.75,1 (W)
26,6,Cheasle FC,13,0,13,39,0.5,3500.25,3514.25,2 (W)
26,7,Zenright,13,0,13,39,0.5,3374.0,3461.0,1 (L)
26,8,The ThiaGOAT,12,0,14,36,0.462,3346.75,3467.0,1 (L)
26,9,RATABE,10,0,16,30,0.385,3178.5,3359.5,1 (L)
26,10,Benford FC,8,0,18,24,0.308,3053.5,3424.25,3 (L)
27,1,Cursed BrunOnana,16,0,11,48,0.593,4104.0,3772.5,2 (W)
27,2,Chicken ASzobo,16,0,11,48,0.593,4078.75,3669.75,1 (L)
27,3,HappyHaalandays,15,0,12,45,0.556,3847.25,3785.0,2 (W)
27,4,Seanhampton FC,15,0,12,45,0.556,3736.25,3708.25,2 (L)
27,5,Thottenham Hotsluts,15,0,12,45,0.556,3708.25,3737.0,2 (W)
27,6,Cheasle FC,14,0,13,42,0.519,3669.25,3627.75,3 (W)
27,7,Zenright,13,0,14,39,0.481,3522.0,3658.25,2 (L)
27,8,The ThiaGOAT,13,0,14,39,0.481,3493.5,3589.75,1 (W)
27,9,RATABE,10,0,17,30,0.37,3340.5,3525.25,2 (L)
27,10,Benford FC,8,0,19,24,0.296,3167.0,3593.25,4 (L)
28,1,Cursed BrunOnana,17,0,11,51,0.607,4328.5,3902.0,3 (W)
